OTU	Occ	Domain	Phylum	Class	Order	Family	Genus	Species	Genus_Class	com_abund	RelAbund	PercentRelAbund
HQ269171.1.1015	1	Archaea	 Thaumarchaeota	 Nitrososphaeria	 Nitrososphaerales	 Nitrososphaeraceae	 uncultured archaeon	 uncultured archaeon	 uncultured archaeon	0.411567326	0.009145941	0.914594057
GU260706.13949.15492	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.377255015	0.008383445	0.838344478
FPLL01004645.16.1553	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Deltaproteobacteria	0.321583201	0.007146293	0.714629336
FPLS01051218.22.1526	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.309388079	0.006875291	0.687529065
JQ978620.1.1534	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 Ambiguous_taxa	 Candidatus Udaeobacter	0.298636167	0.006636359	0.663635926
KJ535378.1.1545	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Ambiguous_taxa	 Pseudomonas	0.28124549	0.0062499	0.624989978
JX898179.1.1548	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.278755953	0.006194577	0.619457674
KC541167.1.1558	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 uncultured bacterium	 Candidatus Udaeobacter	0.277276663	0.006161704	0.616170363
KJ161326.1.1708	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NA	 Pseudomonas	0.276230336	0.006138452	0.613845192
DQ517952.1.1496	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium	NA	 Bradyrhizobium	0.268076201	0.005957249	0.595724892
DQ404701.1.1547	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 uncultured bacterium	 Candidatus Udaeobacter	0.213270313	0.00473934	0.473934029
JX898169.1.1549	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.209085005	0.004646333	0.464633345
AB821064.1.1472	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.182529947	0.004056221	0.405622104
FPLL01006182.8.1522	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.170226584	0.003782813	0.378281298
JN417563.1.1533	1	Bacteria	 Nitrospirae	 Nitrospira	 Nitrospirales	 Nitrospiraceae	 Nitrospira	 Ambiguous_taxa	 Nitrospira	0.168711214	0.003749138	0.374913808
EU335222.1.1517	1	Bacteria	 Acidobacteria	 Subgroup 22	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 22	0.160304517	0.003562323	0.356232261
FPLL01002917.16.1556	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.157923221	0.003509405	0.350940492
FPLL01002138.3.1535	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.155938808	0.003465307	0.346530684
FPLS01007586.11.1491	1	Bacteria	 Chloroflexi	 KD4-96	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 KD4-96	0.154675999	0.003437244	0.343724443
KF712869.1.1517	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.152439024	0.003387534	0.338753388
HQ121087.1.1522	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.146305383	0.003251231	0.325123074
EF018876.1.1358	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Xiphinematobacteraceae	 Candidatus Xiphinematobacter	NA	 Candidatus Xiphinematobacter	0.144212729	0.003204727	0.320472731
FPLS01039472.12.1517	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Xiphinematobacteraceae	 Candidatus Xiphinematobacter	 Ambiguous_taxa	 Candidatus Xiphinematobacter	0.143310723	0.003184683	0.318468273
KC620737.1.1484	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.143094242	0.003179872	0.317987204
EU335276.1.1525	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 uncultured bacterium	 RB41	0.13540915	0.003009092	0.300909222
FPLS01005435.15.1518	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Ambiguous_taxa	NA	 Blastocatellia (Subgroup 4)	0.13396594	0.002977021	0.297702089
JN178076.1.1488	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.132955693	0.002954571	0.295457097
FPLL01008231.12.1561	1	Bacteria	 Latescibacteria	 Latescibacteria	 Latescibacterales	 Latescibacteraceae	 uncultured bacterium	 uncultured bacterium	 Latescibacteria	0.131223842	0.002916085	0.291608537
AY487103.1.1426	1	Archaea	 Thaumarchaeota	 Nitrososphaeria	 Nitrososphaerales	 Nitrososphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Nitrososphaeria	0.129167268	0.002870384	0.287038373
KR088549.1.1526	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. F7	 Arthrobacter	0.128517824	0.002855952	0.285595164
FPLS01017859.13.1516	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Stenotrophobacter	 Ambiguous_taxa	 Stenotrophobacter	0.126749892	0.002816664	0.281666426
FR687499.1.1527	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.12494588	0.002776575	0.27765751
FPLS01051208.10.1550	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.124585077	0.002768557	0.276855727
HQ597819.1.1531	1	Bacteria	 Acidobacteria	 Subgroup 6	NA	NA	NA	NA	 Subgroup 6	0.123250108	0.002738891	0.273889129
EU881176.1.1524	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	NA	 Candidatus Udaeobacter	0.118523596	0.002633858	0.26338577
AYTE01000018.95811.97336	1	Bacteria	 Actinobacteria	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	NA	NA	 Actinobacteria	0.114987733	0.002555283	0.255528295
JQ978570.1.1500	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.112209554	0.002493546	0.249354565
Y07576.1.1528	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 Ambiguous_taxa	 Candidatus Udaeobacter	0.108276808	0.002406151	0.240615128
KJ192076.1.1495	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.107735604	0.002394125	0.239412453
FPLS01049610.10.1482	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methyloligellaceae	 uncultured	NA	 Alphaproteobacteria	0.104380141	0.002319559	0.23195587
HQ166699.1.1541	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.099797951	0.002217732	0.221773224
KC541054.1.1549	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.09821042	0.002182454	0.218245378
FPLS01027507.9.1523	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria Incertae Sedis	 Unknown Family	 Acidibacter	 uncultured bacterium	 Acidibacter	0.095865204	0.002130338	0.213033787
KJ439964.1.1533	1	Bacteria	 Actinobacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Ambiguous_taxa	 Mycobacterium	0.095035359	0.002111897	0.211189686
FJ872373.13200.14750	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Ambiguous_taxa	 Chthoniobacter	0.090597489	0.002013278	0.201327753
DQ404622.1.1516	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	 Ambiguous_taxa	 Ellin6067	0.090164526	0.002003656	0.200365613
FJ713033.1.1487	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 uncultured	NA	 Blastocatellia (Subgroup 4)	0.089875884	0.001997242	0.199724187
AB179513.1.1495	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	NA	NA	 Gammaproteobacteria	0.087674989	0.001948333	0.194833309
DQ787718.1.1532	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Luteolibacter	 Ambiguous_taxa	 Luteolibacter	0.08630394	0.001917865	0.191786533
FPLP01001352.15.1519	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 uncultured	NA	 Bacteroidia	0.086195699	0.00191546	0.191545998
FPLL01006460.12.1514	1	Bacteria	 Actinobacteria	 Actinobacteria	 Frankiales	 Nakamurellaceae	 Nakamurella	 Ambiguous_taxa	 Nakamurella	0.085401934	0.001897821	0.189782075
FPLS01018303.13.1530	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 PLTA13	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Gammaproteobacteria	0.08482465	0.001884992	0.188499222
GQ500731.1.1493	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 uncultured	 uncultured bacterium	 Bacteroidia	0.082984558	0.001844101	0.184410128
HQ118851.1.1525	1	Bacteria	 Acidobacteria	 Subgroup 6	NA	NA	NA	NA	 Subgroup 6	0.082551595	0.00183448	0.183447988
Z95733.1.1547	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.081288786	0.001806417	0.180641747
GQ500734.1.1500	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria Incertae Sedis	 Unknown Family	 Acidibacter	 uncultured bacterium	 Acidibacter	0.081000144	0.001800003	0.180000321
EF019974.1.1386	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 uncultured	 uncultured bacterium	 Bacteroidia	0.080964064	0.001799201	0.179920142
JF267691.1.1491	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	 uncultured bacterium	 Ellin6067	0.080098138	0.001779959	0.177995863
FM209332.1.1516	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.078654929	0.001747887	0.17478873
JX898177.1.1545	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.074325299	0.001651673	0.165167332
GQ264336.1.1464	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	NA	NA	 Blastocatellia (Subgroup 4)	0.071980084	0.001599557	0.159955742
AY281354.34942.36500	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.071835763	0.00159635	0.159635028
JN868932.1.1483	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.071691442	0.001593143	0.159314315
KF836176.1.1522	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Phaselicystidaceae	 Phaselicystis	 Ambiguous_taxa	 Phaselicystis	0.070212152	0.00156027	0.156027004
JN417600.1.1512	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Adhaeribacter	 Ambiguous_taxa	 Adhaeribacter	0.070103911	0.001557865	0.155786469
FJ479290.1.1516	1	Bacteria	 Latescibacteria	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Latescibacteria	0.068299899	0.001517776	0.151777553
GQ495404.1.1554	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 Ambiguous_taxa	 Candidatus Udaeobacter	0.068227738	0.001516172	0.151617197
AJ867908.1.1552	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Cephaloticoccus	NA	 Cephaloticoccus	0.067686535	0.001504145	0.150414522
EU528219.1.1338	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	 Ambiguous_taxa	 Ellin6067	0.064980517	0.001444011	0.144401148
KT283076.1.1506	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Arenimonas	 Ambiguous_taxa	 Arenimonas	0.064944436	0.00144321	0.14432097
GU444072.1.1508	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Luteolibacter	NA	 Luteolibacter	0.06404243	0.001423165	0.142316512
JQ978566.1.1511	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 uncultured bacterium	 uncultured bacterium	 Gammaproteobacteria	0.06397027	0.001421562	0.142156155
AB819482.1.1531	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.063320826	0.001407129	0.140712946
EU881248.1.1526	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.063176505	0.001403922	0.140392232
FJ439860.1.1500	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium	 uncultured bacterium	 Bradyrhizobium	0.062960023	0.001399112	0.139911162
FPLL01008403.9.1525	1	Bacteria	 Acidobacteria	 Holophagae	 Subgroup 7	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Holophagae	0.062418819	0.001387085	0.138708488
AF001645.1.1525	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	NA	 Gammaproteobacteria	0.061552894	0.001367842	0.136784208
FPLS01009273.17.1481	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.061192091	0.001359824	0.135982425
FPLS01013161.14.1531	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 CCD24	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.061156011	0.001359022	0.135902247
HQ645212.1.1537	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.060398326	0.001342185	0.134218502
JX114426.1.1484	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.060145764	0.001336573	0.133657254
FPLL01008553.9.1546	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Opitutus	NA	 Opitutus	0.059351999	0.001318933	0.131893331
AY212693.1.1482	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Novosphingobium	 Ambiguous_taxa	 Novosphingobium	0.058738635	0.001305303	0.130530299
GEUY01000836.1.1611	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.05801703	0.001289267	0.128926733
FPLS01049389.11.1548	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Ambiguous_taxa	 Chthoniobacter	0.057836629	0.001285258	0.128525841
JF833872.1.1526	1	Bacteria	 Rokubacteria	 NC10	 Rokubacteriales	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 NC10	0.057656227	0.001281249	0.12812495
HQ119950.1.1515	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 uncultured bacterium	 Chthoniobacter	0.057547987	0.001278844	0.127884415
HQ119473.1.1531	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.057259345	0.00127243	0.127242988
FJ478897.1.1521	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfarculales	 Desulfarculaceae	 uncultured	 Ambiguous_taxa	 Deltaproteobacteria	0.055671814	0.001237151	0.123715142
KY445663.1.1552	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 Steroidobacter	 Ambiguous_taxa	 Steroidobacter	0.055671814	0.001237151	0.123715142
FPLL01006926.16.1529	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 TRA3-20	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.055491413	0.001233143	0.123314251
FPLS01037614.13.1517	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Terrimonas	 Ambiguous_taxa	 Terrimonas	0.053218358	0.00118263	0.118263017
FPLS01010712.17.1525	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.053182277	0.001181828	0.118182839
FPLS01023376.12.1480	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.053110117	0.001180225	0.118022482
CP010836.1.5191536	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.052857555	0.001174612	0.117461234
HM459614.1.1496	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.052604994	0.001169	0.116899986
JQ978577.1.1483	1	Bacteria	 Acidobacteria	 Subgroup 11	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Subgroup 11	0.052352432	0.001163387	0.116338737
EF019397.1.1385	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Terrimonas	 Ambiguous_taxa	 Terrimonas	0.051955549	0.001154568	0.115456776
KC683105.1.1483	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.051919469	0.001153766	0.115376598
KP162203.1.1518	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.051919469	0.001153766	0.115376598
