OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU_1076,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1077,Fungi,Rozellomycota,Incertae_sedis,Gs11,NA,NA,NA
OTU_1078,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletellus,Boletellus russellii
OTU_1079,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp 
OTU_108,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1080,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Incertae_sedis,Operculomyces,Operculomyces laminatus
OTU_1083,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium sp 
OTU_1084,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA
OTU_1085,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps chlamydosporia
OTU_1086,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita sp 
OTU_1087,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii
OTU_1088,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA
OTU_1089,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca sp 
OTU_109,Fungi,NA,NA,NA,NA,NA,NA
OTU_1090,Fungi,NA,NA,NA,NA,NA,NA
OTU_1091,Fungi,NA,NA,NA,NA,NA,NA
OTU_1092,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1093,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia rectispora
OTU_1094,Fungi,NA,NA,NA,NA,NA,NA
OTU_1095,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium intermedium
OTU_1096,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU_1097,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1098,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1099,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_11,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitocella,Clitocella mundula
OTU_110,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1100,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU_1101,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella alpina
OTU_1102,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU_1103,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
OTU_1104,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
OTU_1105,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria sp 
OTU_1106,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU_1107,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Nectria sp 
OTU_1108,Fungi,NA,NA,NA,NA,NA,NA
OTU_1109,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
OTU_1110,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1111,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1112,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU_1113,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU_1114,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria robusta
OTU_1115,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1116,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1117,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU_1118,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella hyalina
OTU_1119,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_112,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1120,Fungi,NA,NA,NA,NA,NA,NA
OTU_1121,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1122,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1123,Fungi,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
OTU_1124,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
OTU_1125,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
OTU_1126,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1127,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1128,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,NA,NA,NA
OTU_1129,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU_1130,Fungi,NA,NA,NA,NA,NA,NA
OTU_1131,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
OTU_1132,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_1133,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1134,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1135,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Pholiotina,Pholiotina sulcata
OTU_1136,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,NA
OTU_1137,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
OTU_1138,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria sp 
OTU_1139,Fungi,NA,NA,NA,NA,NA,NA
OTU_114,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,Thelebolus globosus
OTU_1140,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Delicatula,NA
OTU_1141,Fungi,NA,NA,NA,NA,NA,NA
OTU_1142,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
OTU_1143,Fungi,NA,NA,NA,NA,NA,NA
OTU_1144,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_1145,Fungi,NA,NA,NA,NA,NA,NA
OTU_1146,Fungi,NA,NA,NA,NA,NA,NA
OTU_1147,Fungi,Mortierellomycota,NA,NA,NA,NA,NA
OTU_1148,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU_1149,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_115,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora sp 
OTU_1150,Fungi,NA,NA,NA,NA,NA,NA
OTU_1151,Fungi,Ascomycota,Pezizomycetes,NA,NA,NA,NA
OTU_1152,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1153,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1154,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Incertae_sedis,Minimedusa,Minimedusa polyspora
OTU_1155,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1156,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
OTU_1157,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1158,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,NA
OTU_1159,Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus ranarum
OTU_1160,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha sp 
OTU_1161,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU_1162,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1163,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraconiothyrium,Paraconiothyrium brasiliense
OTU_1164,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Incertae_sedis,Leptodiscella,Leptodiscella sp 
OTU_1165,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1166,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1167,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1168,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma spirale
OTU_1169,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_117,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1170,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1171,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,NA,NA,NA
OTU_1172,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,NA
OTU_1173,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,NA
OTU_1174,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU_1175,Fungi,NA,NA,NA,NA,NA,NA
OTU_1176,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1177,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Knufia tsunedae
OTU_1178,Fungi,NA,NA,NA,NA,NA,NA
OTU_1179,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU_1180,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,NA,NA
OTU_1181,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,NA,NA,NA
OTU_1182,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis,Chalara,Chalara sp 
OTU_1183,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1184,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU_1185,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis,Cadophora,Cadophora luteo-olivacea
OTU_1186,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU_1187,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1188,Fungi,NA,NA,NA,NA,NA,NA
OTU_1189,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU_119,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,NA
OTU_1190,Fungi,NA,NA,NA,NA,NA,NA
OTU_1191,Fungi,NA,NA,NA,NA,NA,NA
OTU_1192,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota terrestris
OTU_1193,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1194,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA
OTU_1195,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1196,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1197,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA
OTU_1198,Fungi,NA,NA,NA,NA,NA,NA
OTU_1199,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_120,Fungi,Basidiomycota,Tremellomycetes,Holtermanniales,Incertae_sedis,Holtermanniella,Holtermanniella takashimae
OTU_1200,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1201,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1202,Fungi,NA,NA,NA,NA,NA,NA
OTU_1203,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1204,Fungi,NA,NA,NA,NA,NA,NA
OTU_1205,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1206,Fungi,NA,NA,NA,NA,NA,NA
OTU_1207,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU_1208,Fungi,NA,NA,NA,NA,NA,NA
OTU_1209,Fungi,NA,NA,NA,NA,NA,NA
OTU_121,Fungi,NA,NA,NA,NA,NA,NA
OTU_1210,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1211,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,NA
OTU_1212,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1213,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,NA,NA
OTU_1214,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
OTU_1215,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella fatshederae
OTU_1216,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU_1217,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,NA
OTU_1218,Fungi,NA,NA,NA,NA,NA,NA
OTU_1219,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,Cheilymenia sp 
OTU_122,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp 
OTU_1220,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1221,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU_1222,Fungi,NA,NA,NA,NA,NA,NA
OTU_1223,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1224,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1225,Fungi,NA,NA,NA,NA,NA,NA
OTU_1226,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1227,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,NA,NA,NA
OTU_1228,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU_1229,Fungi,NA,NA,NA,NA,NA,NA
OTU_123,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum
OTU_1230,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1231,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1232,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium drummii
OTU_1233,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,Meliniomyces sp 
OTU_1234,Fungi,NA,NA,NA,NA,NA,NA
OTU_1235,Fungi,NA,NA,NA,NA,NA,NA
OTU_1236,Fungi,Mortierellomycota,NA,NA,NA,NA,NA
OTU_1237,Fungi,NA,NA,NA,NA,NA,NA
OTU_1238,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1239,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,NA
OTU_124,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon carneum
OTU_1240,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1241,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1242,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU_1243,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1244,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,NA
OTU_1245,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1246,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
OTU_1247,Fungi,NA,NA,NA,NA,NA,NA
OTU_1248,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1249,Fungi,NA,NA,NA,NA,NA,NA
OTU_125,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium golubevii
OTU_1250,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1251,Fungi,NA,NA,NA,NA,NA,NA
OTU_1252,Fungi,NA,NA,NA,NA,NA,NA
OTU_1253,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1254,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU_1255,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Incertae_sedis,Operculomyces,Operculomyces laminatus
OTU_1256,Fungi,NA,NA,NA,NA,NA,NA
OTU_1257,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1258,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1259,Fungi,NA,NA,NA,NA,NA,NA
OTU_126,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota,Lepiota subincarnata
OTU_1260,Fungi,NA,NA,NA,NA,NA,NA
OTU_1261,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria mors-panacis
OTU_1262,Fungi,NA,NA,NA,NA,NA,NA
OTU_1263,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU_1264,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1265,Fungi,Ascomycota,Eurotiomycetes,NA,NA,NA,NA
OTU_1266,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU_1267,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
OTU_1268,Fungi,NA,NA,NA,NA,NA,NA
OTU_1269,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_127,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus sp 
OTU_1270,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_1271,Fungi,NA,NA,NA,NA,NA,NA
OTU_1272,Fungi,NA,NA,NA,NA,NA,NA
OTU_1273,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
OTU_1274,Fungi,NA,NA,NA,NA,NA,NA
OTU_1275,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis rosea
OTU_1276,Fungi,NA,NA,NA,NA,NA,NA
OTU_1277,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis atramentaria
OTU_1278,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU_1279,Fungi,NA,NA,NA,NA,NA,NA
OTU_128,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis rosea
OTU_1280,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
OTU_1281,Fungi,NA,NA,NA,NA,NA,NA
OTU_1282,Fungi,NA,NA,NA,NA,NA,NA
OTU_1283,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,NA,NA
OTU_1284,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Spizellomyces plurigibbosus
OTU_1285,Fungi,NA,NA,NA,NA,NA,NA
OTU_1286,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1287,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
