OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species
FPLS01051218.22.1526,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, uncultured, Ambiguous_taxa
FPLL01002917.16.1556,Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Pyrinomonadales, Pyrinomonadaceae, RB41, Ambiguous_taxa
KJ535378.1.1545,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Ambiguous_taxa
AOIX01038262.3063.4572,Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, Ambiguous_taxa
EU881176.1.1524,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter,NA
FPLL01006443.14.1531,Bacteria, Proteobacteria, Gammaproteobacteria, R7C24, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
OTU_dn_2,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group,NA,NA
FM209300.1.1516,Bacteria, Acidobacteria, Holophagae, Subgroup 7, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
DQ404701.1.1547,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, uncultured bacterium
KC331417.1.1467,Bacteria, Chloroflexi, Anaerolineae, SBR1031, uncultured bacterium, uncultured bacterium, uncultured bacterium
KC283062.1.1542,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, MND1, Ambiguous_taxa
HQ121087.1.1522,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
GQ396976.1.1501,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Intrasporangiaceae, Oryzihumus, Ambiguous_taxa
EU335222.1.1517,Bacteria, Acidobacteria, Subgroup 22, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
JF267691.1.1491,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067, uncultured bacterium
CP002961.1412328.1413816,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Spirosomaceae, Emticicia, Ambiguous_taxa
JN038656.1.1441,Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, Phycisphaeraceae, SM1A02, uncultured bacterium
JF429125.1.1528,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
EU335395.1.1467,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
OTU_dn_29,Bacteria, Planctomycetes, Pla4 lineage, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
FJ444699.1.1510,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Myxococcaceae, Aggregicoccus,NA
EF018642.1.1390,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter, uncultured bacterium
OTU_dn_96,Bacteria, Planctomycetes, Phycisphaerae, Tepidisphaerales, WD2101 soil group, uncultured bacterium, uncultured bacterium
FM209332.1.1516,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
GU260706.13949.15492,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
AB672229.1.1478,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, bacteriap25, uncultured soil bacterium, uncultured soil bacterium
AF001645.1.1525,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa,NA
KT905712.1.1543,Bacteria, Actinobacteria, Thermoleophilia, uncultured, uncultured bacterium, uncultured bacterium, uncultured bacterium
OTU_dn_237,Bacteria, Proteobacteria, Gammaproteobacteria, Salinisphaerales, Solimonadaceae, Polycyclovorans,NA
HQ166699.1.1541,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
AY281354.34942.36500,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
LN563643.1.1396,Bacteria, Rokubacteria, NC10, Rokubacteriales, uncultured bacterium, uncultured bacterium, uncultured bacterium
HQ597316.1.1507,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KC683092.1.1542,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales,NA,NA,NA
FPLL01005181.49.1467,Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Ambiguous_taxa, Ambiguous_taxa
KF712869.1.1517,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
EU134125.1.1311,Bacteria, Chloroflexi, Chloroflexia, Chloroflexales, Roseiflexaceae, uncultured, uncultured bacterium
OTU_dn_98,Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), 11-24, uncultured bacterium, uncultured bacterium, uncultured bacterium
OTU_dn_2499,Bacteria, Bacteroidetes, Bacteroidia, Chitinophagales, Chitinophagaceae, Ferruginibacter,NA
OTU_dn_314,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, 67-14,NA,NA
GQ264220.1.1474,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, TRA3-20, Ambiguous_taxa, Ambiguous_taxa
JX025746.1.1509,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KC541167.1.1558,Bacteria, Verrucomicrobia, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus Udaeobacter, uncultured bacterium
FPLL01004645.16.1553,Bacteria, Proteobacteria, Deltaproteobacteria, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KM205519.1.1483,Bacteria, Latescibacteria,NA,NA,NA,NA,NA
EF016806.1.1483,Bacteria, Actinobacteria, Actinobacteria, Frankiales,NA,NA,NA
JX133378.1.1515,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
KJ783201.1.1459,Bacteria, Planctomycetes, Phycisphaerae, Phycisphaerales, Phycisphaeraceae, AKYG587,NA
KC331529.1.1462,Bacteria, Chloroflexi, Anaerolineae, RBG-13-54-9, uncultured bacterium, uncultured bacterium, uncultured bacterium
AYTE01000018.95811.97336,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Nocardiaceae,NA,NA
FJ889269.1.1465,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, Ambiguous_taxa
EU335407.1.1494,Bacteria, Acidobacteria, Acidobacteriia, Subgroup 2, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GEUY01000836.1.1611,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
OTU_dn_14,Bacteria, Proteobacteria, Gammaproteobacteria, KI89A clade, uncultured bacterium, uncultured bacterium, uncultured bacterium
FPLS01052195.9.1489,Bacteria, Chloroflexi, Dehalococcoidia, S085, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
EF018409.1.1451,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, SC-I-84,NA,NA
FJ444691.1.1515,Bacteria, Planctomycetes, OM190, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
FPLS01017859.13.1516,Bacteria, Acidobacteria, Blastocatellia (Subgroup 4), Blastocatellales, Blastocatellaceae, Stenotrophobacter, Ambiguous_taxa
OTU_dn_10265,Unassigned,NA,NA,NA,NA,NA,NA
OTU_dn_2294,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, uncultured bacterium
GQ396899.1.1522,Bacteria, Acidobacteria, Subgroup 17, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
EU335261.1.1517,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Haliangiaceae, Haliangium, uncultured bacterium
FPLS01039594.12.1466,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, KF-JG30-B3, Ambiguous_taxa, Ambiguous_taxa
AY212693.1.1482,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, Ambiguous_taxa
KJ191992.1.1493,Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Nitrosomonadaceae, Ellin6067,NA
FPLL01003754.14.1563,Bacteria, Verrucomicrobia, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, Ambiguous_taxa, Ambiguous_taxa
KC604510.1.912,Archaea, Euryarchaeota, Thermoplasmata, Marine Group II, uncultured archaeon, uncultured archaeon, uncultured archaeon
